cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
213,1.728967094,0.560891034,1.782877492,1.729650132,1.617222873,1.520189501,93.5,210.87,0.8526606609,-14.73393391
214,1.729650132,0.560670184,1.783579774,1.730330236,1.617858771,1.520787244,93.5,211.86,0.8526600642,-14.73399358
215,1.730330236,0.560450451,1.784279053,1.731007434,1.618491951,1.521382434,93.5,212.85,0.8526594711,-14.73405289
216,1.731007434,0.560231827,1.784975347,1.731681751,1.619122437,1.521975091,93.5,213.84,0.8526588857,-14.73411143
217,1.731681751,0.560014299,1.785668691,1.732353212,1.619750253,1.522565238,93.5,214.83,0.8526583046,-14.73416954
218,1.732353212,0.559797857,1.786359107,1.733021844,1.620375424,1.523152898,93.5,215.82,0.8526577284,-14.73422716
219,1.733021844,0.559582491,1.787046622,1.73368767,1.620997971,1.523738093,93.5,216.81,0.8526571576,-14.73428424
220,1.73368767,0.559368191,1.787731258,1.734350715,1.621617918,1.524320843,93.5,217.8,0.8526565925,-14.73434075
221,1.734350715,0.559154947,1.788413043,1.735011003,1.622235288,1.524901171,93.5,218.79,0.8526560333,-14.73439667
222,1.735011003,0.558942748,1.789092002,1.735668559,1.622850102,1.525479096,93.5,219.78,0.8526554781,-14.73445219
223,1.735668559,0.558731585,1.789768159,1.736323405,1.623462384,1.526054641,93.5,220.77,0.8526549283,-14.73450717
224,1.736323405,0.558521448,1.790441537,1.736975566,1.624072154,1.526627825,93.5,221.76,0.8526543831,-14.73456169
